protocol,payload_bytes,buffer_bytes,condition,throughput_mbps,loss_rate_pct,jitter_ms,avg_owd_ms,run_index
UDP,1024,65536,baseline,1.3287,0.0,0.2059,0.1117,1
UDP,64,65536,baseline,0.2022,0.0,0.0562,0.0778,1
UDP,64,65536,baseline,0.2027,0.0,0.0838,0.0812,2
UDP,64,65536,baseline,0.2029,0.0,0.0562,0.0753,3
UDP,256,65536,baseline,0.8105,0.0,0.1278,0.0953,1
UDP,256,65536,baseline,0.808,0.0,0.1227,0.1015,2
UDP,256,65536,baseline,0.8007,0.0,0.1396,0.1069,3
UDP,1024,65536,baseline,3.153,0.0,0.1615,0.1645,1
UDP,1024,65536,baseline,3.1685,0.0,0.0737,0.14,2
UDP,1024,65536,baseline,3.065,0.0,0.2861,0.1786,3
UDP,4096,65536,baseline,12.3981,0.0,0.1898,0.1514,1
UDP,4096,65536,baseline,12.6869,0.0,0.0913,0.1363,2
UDP,4096,65536,baseline,12.746,0.0,0.1064,0.1135,3
UDP,16384,65536,baseline,51.1786,0.0,0.0764,0.1226,1
UDP,16384,65536,baseline,50.1946,0.0,0.2045,0.1284,2
UDP,16384,65536,baseline,50.9771,0.0,0.1203,0.1279,3
UDP,64,65536,baseline,0.2025,0.0,0.0746,0.0781,1
UDP,64,65536,baseline,0.2027,0.0,0.0705,0.0782,2
UDP,64,65536,baseline,0.2021,0.0,0.0556,0.0756,3
UDP,256,65536,baseline,0.8046,0.0,0.0756,0.0862,1
UDP,256,65536,baseline,0.8085,0.0,0.0577,0.0733,2
UDP,256,65536,baseline,0.8058,0.0,0.0495,0.0837,3
UDP,1024,65536,baseline,3.2285,0.0,0.0534,0.0774,1
UDP,1024,65536,baseline,3.2259,0.0,0.0664,0.0803,2
UDP,1024,65536,baseline,3.2197,0.0,0.051,0.077,3
UDP,4096,65536,baseline,12.8953,0.0,0.0485,0.0814,1
UDP,4096,65536,baseline,12.8822,0.0,0.0741,0.0846,2
UDP,4096,65536,baseline,12.8873,0.0,0.0731,0.0866,3
UDP,16384,65536,baseline,51.4061,0.0,0.1089,0.1184,1
UDP,16384,65536,baseline,51.2319,0.0,0.0582,0.088,2
UDP,16384,65536,baseline,51.5526,0.0,0.0611,0.0912,3
UDP,64,65536,congested,0.2019,0.0,0.0856,0.0849,1
UDP,64,65536,congested,0.202,0.0,0.0596,0.0763,2
UDP,64,65536,congested,0.2024,0.0,0.0727,0.0759,3
UDP,256,65536,congested,0.8064,0.0,0.0618,0.0755,1
UDP,256,65536,congested,0.81,0.0,0.069,0.0752,2
UDP,256,65536,congested,0.8103,0.0,0.0642,0.0791,3
UDP,1024,65536,congested,3.2347,0.0,0.0643,0.0751,1
UDP,1024,65536,congested,3.246,0.0,0.0591,0.0766,2
UDP,1024,65536,congested,3.2333,0.0,0.0596,0.0832,3
UDP,4096,65536,congested,12.9565,0.0,0.0505,0.0779,1
UDP,4096,65536,congested,12.907,0.0,0.0598,0.0799,2
UDP,4096,65536,congested,12.9778,0.0,0.0891,0.0866,3
UDP,16384,65536,congested,51.556,0.0,0.0531,0.0871,1
UDP,16384,65536,congested,51.5907,0.0,0.0538,0.0844,2
UDP,16384,65536,congested,51.9265,0.0,0.0592,0.0865,3
UDP,64,65536,high_latency,0.0845,0.0,1.0201,51.2033,1
UDP,64,65536,high_latency,0.0844,0.0,1.0981,51.2045,2
UDP,64,65536,high_latency,0.0838,0.0,1.231,51.2685,3
UDP,256,65536,high_latency,0.3356,0.0,1.0549,51.2155,1
UDP,256,65536,high_latency,0.3377,0.0,1.0521,51.2186,2
UDP,256,65536,high_latency,0.3368,0.0,1.1168,51.2388,3
UDP,1024,65536,high_latency,1.3502,0.0,1.0834,51.2053,1
UDP,1024,65536,high_latency,1.348,0.0,1.0809,51.195,2
UDP,1024,65536,high_latency,1.3487,0.0,1.0326,51.1909,3
UDP,4096,65536,high_latency,5.3978,0.0,1.0098,51.2359,1
UDP,4096,65536,high_latency,5.4156,0.0,0.9885,51.1963,2
UDP,4096,65536,high_latency,5.4004,0.0,1.1044,51.2283,3
UDP,16384,65536,high_latency,21.5607,0.0,0.9536,52.2206,1
UDP,16384,65536,high_latency,21.4397,0.0,1.2123,52.3299,2
UDP,16384,65536,high_latency,21.5242,0.0,1.0281,52.2249,3
UDP,64,65536,high_latency,0.0844,0.0,1.0871,51.2062,1
UDP,64,65536,high_latency,0.0845,0.0,0.973,51.2223,2
UDP,64,65536,high_latency,0.0841,0.0,1.1442,51.2295,3
UDP,256,65536,high_latency,0.3343,0.0,1.1968,51.2648,1
UDP,256,65536,high_latency,0.3359,0.0,1.2341,51.2731,2
UDP,256,65536,high_latency,0.3345,0.0,1.0409,51.2018,3
UDP,1024,65536,high_latency,1.3423,0.0,0.9239,51.1837,1
UDP,1024,65536,high_latency,1.3362,0.0,1.0942,51.2121,2
UDP,1024,65536,high_latency,1.3461,0.0,0.9998,51.2069,3
UDP,4096,65536,high_latency,5.377,0.0,1.17,51.2408,1
UDP,4096,65536,high_latency,5.3498,0.0,1.0454,51.2101,2
UDP,4096,65536,high_latency,5.3854,0.0,0.923,51.1918,3
UDP,16384,65536,high_latency,21.5041,0.0,0.8957,52.2059,1
UDP,16384,65536,high_latency,21.3996,0.0,1.1514,52.2683,2
UDP,16384,65536,high_latency,21.2098,0.0,1.2759,52.3787,3
UDP,64,65536,high_latency,0.0837,0.0,1.1729,51.2549,1
UDP,64,65536,high_latency,0.0849,0.0,1.0557,51.2068,2
UDP,64,65536,high_latency,0.0843,0.0,1.1432,51.2333,3
UDP,256,65536,high_latency,0.336,0.0,1.0582,51.208,1
UDP,256,65536,high_latency,0.3379,0.0,1.0195,51.1989,2
UDP,256,65536,high_latency,0.3346,0.0,1.0827,51.265,3
UDP,1024,65536,high_latency,1.3489,0.0,1.0581,51.2123,1
UDP,1024,65536,high_latency,1.3433,0.0,1.0742,51.1899,2
UDP,1024,65536,high_latency,1.3468,0.0,1.1709,51.254,3
UDP,4096,65536,high_latency,5.385,0.0,0.9345,51.2069,1
UDP,4096,65536,high_latency,5.3579,0.0,1.092,51.2198,2
UDP,4096,65536,high_latency,5.3603,0.0,1.1577,51.2938,3
UDP,16384,65536,high_latency,21.5937,0.0,1.0073,52.2565,1
UDP,16384,65536,high_latency,21.4488,0.0,0.9833,52.2573,2
UDP,16384,65536,high_latency,21.4126,0.0,1.0614,52.223,3
UDP,64,65536,high_latency,0.084,0.0,1.0651,51.1993,1
UDP,64,65536,high_latency,0.0838,0.0,1.1811,51.2732,2
UDP,64,65536,high_latency,0.084,0.0,0.9889,51.1902,3
UDP,256,65536,high_latency,0.3362,0.0,0.9371,51.1843,1
UDP,256,65536,high_latency,0.3369,0.0,1.0213,51.2012,2
UDP,256,65536,high_latency,0.3325,0.0,1.0678,51.279,3
UDP,1024,65536,high_latency,1.3497,0.0,1.0092,51.1986,1
UDP,1024,65536,high_latency,1.3497,0.0,1.1116,51.229,2
